"행정구역","2020년11월_거주자 인구수","2020년11월_세대수","2020년11월_세대당 인구","2020년11월_남자 인구수","2020년11월_여자 인구수","2020년11월_남여 비율","2020년12월_거주자 인구수","2020년12월_세대수","2020년12월_세대당 인구","2020년12월_남자 인구수","2020년12월_여자 인구수","2020년12월_남여 비율","2021년01월_거주자 인구수","2021년01월_세대수","2021년01월_세대당 인구","2021년01월_남자 인구수","2021년01월_여자 인구수","2021년01월_남여 비율","2021년02월_거주자 인구수","2021년02월_세대수","2021년02월_세대당 인구","2021년02월_남자 인구수","2021년02월_여자 인구수","2021년02월_남여 비율","2021년03월_거주자 인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율","2021년04월_거주자 인구수","2021년04월_세대수","2021년04월_세대당 인구","2021년04월_남자 인구수","2021년04월_여자 인구수","2021년04월_남여 비율","2021년05월_거주자 인구수","2021년05월_세대수","2021년05월_세대당 인구","2021년05월_남자 인구수","2021년05월_여자 인구수","2021년05월_남여 비율","2021년06월_거주자 인구수","2021년06월_세대수","2021년06월_세대당 인구","2021년06월_남자 인구수","2021년06월_여자 인구수","2021년06월_남여 비율","2021년07월_거주자 인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율","2021년08월_거주자 인구수","2021년08월_세대수","2021년08월_세대당 인구","2021년08월_남자 인구수","2021년08월_여자 인구수","2021년08월_남여 비율","2021년09월_거주자 인구수","2021년09월_세대수","2021년09월_세대당 인구","2021년09월_남자 인구수","2021년09월_여자 인구수","2021년09월_남여 비율","2021년10월_거주자 인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율","2021년11월_거주자 인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율","2021년12월_거주자 인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년01월_남자 인구수","2022년01월_여자 인구수","2022년01월_남여 비율","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년04월_남자 인구수","2022년04월_여자 인구수","2022년04월_남여 비율","2022년05월_거주자 인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율","2022년06월_거주자 인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율","2022년07월_거주자 인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년07월_남여 비율","2022년08월_거주자 인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율","2022년09월_거주자 인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년09월_남여 비율","2022년10월_거주자 인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율","2022년11월_거주자 인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년11월_남여 비율","2022년12월_거주자 인구수","2022년12월_세대수","2022년12월_세대당 인구","2022년12월_남자 인구수","2022년12월_여자 인구수","2022년12월_남여 비율","2023년01월_거주자 인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_거주자 인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_거주자 인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율","2023년04월_거주자 인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율","2023년05월_거주자 인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년05월_남자 인구수","2023년05월_여자 인구수","2023년05월_남여 비율","2023년06월_거주자 인구수","2023년06월_세대수","2023년06월_세대당 인구","2023년06월_남자 인구수","2023년06월_여자 인구수","2023년06월_남여 비율","2023년07월_거주자 인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년07월_남자 인구수","2023년07월_여자 인구수","2023년07월_남여 비율","2023년08월_거주자 인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년08월_남자 인구수","2023년08월_여자 인구수","2023년08월_남여 비율","2023년09월_거주자 인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년09월_남자 인구수","2023년09월_여자 인구수","2023년09월_남여 비율","2023년10월_거주자 인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율","2023년11월_거주자 인구수","2023년11월_세대수","2023년11월_세대당 인구","2023년11월_남자 인구수","2023년11월_여자 인구수","2023년11월_남여 비율","2023년12월_거주자 인구수","2023년12월_세대수","2023년12월_세대당 인구","2023년12월_남자 인구수","2023년12월_여자 인구수","2023년12월_남여 비율","2024년01월_거주자 인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년01월_남자 인구수","2024년01월_여자 인구수","2024년01월_남여 비율","2024년02월_거주자 인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년02월_남자 인구수","2024년02월_여자 인구수","2024년02월_남여 비율","2024년03월_거주자 인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년03월_남자 인구수","2024년03월_여자 인구수","2024년03월_남여 비율","2024년04월_거주자 인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년04월_남자 인구수","2024년04월_여자 인구수","2024년04월_남여 비율","2024년05월_거주자 인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년05월_남자 인구수","2024년05월_여자 인구수","2024년05월_남여 비율","2024년06월_거주자 인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년06월_남자 인구수","2024년06월_여자 인구수","2024년06월_남여 비율","2024년07월_거주자 인구수","2024년07월_세대수","2024년07월_세대당 인구","2024년07월_남자 인구수","2024년07월_여자 인구수","2024년07월_남여 비율","2024년08월_거주자 인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년08월_남자 인구수","2024년08월_여자 인구수","2024년08월_남여 비율","2024년09월_거주자 인구수","2024년09월_세대수","2024년09월_세대당 인구","2024년09월_남자 인구수","2024년09월_여자 인구수","2024년09월_남여 비율","2024년10월_거주자 인구수","2024년10월_세대수","2024년10월_세대당 인구","2024년10월_남자 인구수","2024년10월_여자 인구수","2024년10월_남여 비율","2024년11월_거주자 인구수","2024년11월_세대수","2024년11월_세대당 인구","2024년11월_남자 인구수","2024년11월_여자 인구수","2024년11월_남여 비율","2024년12월_거주자 인구수","2024년12월_세대수","2024년12월_세대당 인구","2024년12월_남자 인구수","2024년12월_여자 인구수","2024년12월_남여 비율","2025년01월_거주자 인구수","2025년01월_세대수","2025년01월_세대당 인구","2025년01월_남자 인구수","2025년01월_여자 인구수","2025년01월_남여 비율","2025년02월_거주자 인구수","2025년02월_세대수","2025년02월_세대당 인구","2025년02월_남자 인구수","2025년02월_여자 인구수","2025년02월_남여 비율","2025년03월_거주자 인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율","2025년04월_거주자 인구수","2025년04월_세대수","2025년04월_세대당 인구","2025년04월_남자 인구수","2025년04월_여자 인구수","2025년04월_남여 비율","2025년05월_거주자 인구수","2025년05월_세대수","2025년05월_세대당 인구","2025년05월_남자 인구수","2025년05월_여자 인구수","2025년05월_남여 비율","2025년06월_거주자 인구수","2025년06월_세대수","2025년06월_세대당 인구","2025년06월_남자 인구수","2025년06월_여자 인구수","2025년06월_남여 비율","2025년07월_거주자 인구수","2025년07월_세대수","2025년07월_세대당 인구","2025년07월_남자 인구수","2025년07월_여자 인구수","2025년07월_남여 비율","2025년08월_거주자 인구수","2025년08월_세대수","2025년08월_세대당 인구","2025년08월_남자 인구수","2025년08월_여자 인구수","2025년08월_남여 비율","2025년09월_거주자 인구수","2025년09월_세대수","2025년09월_세대당 인구","2025년09월_남자 인구수","2025년09월_여자 인구수","2025년09월_남여 비율","2025년10월_거주자 인구수","2025년10월_세대수","2025년10월_세대당 인구","2025년10월_남자 인구수","2025년10월_여자 인구수","2025년10월_남여 비율"
"대구광역시  (2700000000)","2,404,719","1,039,911","          2.31","1,186,067","1,218,652","          0.97","2,401,110","1,041,808","          2.30","1,184,035","1,217,075","          0.97","2,398,655","1,043,368","          2.30","1,182,641","1,216,014","          0.97","2,396,079","1,045,253","          2.29","1,181,254","1,214,825","          0.97","2,392,918","1,047,205","          2.29","1,179,580","1,213,338","          0.97","2,390,383","1,048,214","          2.28","1,178,198","1,212,185","          0.97","2,387,854","1,048,984","          2.28","1,176,878","1,210,976","          0.97","2,385,611","1,049,669","          2.27","1,175,589","1,210,022","          0.97","2,383,769","1,050,287","          2.27","1,174,580","1,209,189","          0.97","2,381,715","1,051,130","          2.27","1,173,502","1,208,213","          0.97","2,380,981","1,052,607","          2.26","1,172,995","1,207,986","          0.97","2,379,003","1,053,155","          2.26","1,171,889","1,207,114","          0.97","2,376,595","1,053,494","          2.26","1,170,571","1,206,024","          0.97","2,373,789","1,054,162","          2.25","1,169,062","1,204,727","          0.97","2,372,283","1,054,737","          2.25","1,168,125","1,204,158","          0.97","2,369,553","1,055,803","          2.24","1,166,513","1,203,040","          0.97","2,369,001","1,058,929","          2.24","1,166,152","1,202,849","          0.97","2,367,052","1,059,763","          2.23","1,164,945","1,202,107","          0.97","2,365,236","1,060,649","          2.23","1,163,866","1,201,370","          0.97","2,363,874","1,061,153","          2.23","1,163,137","1,200,737","          0.97","2,362,727","1,061,855","          2.23","1,162,433","1,200,294","          0.97","2,361,036","1,062,954","          2.22","1,161,397","1,199,639","          0.97","2,359,867","1,064,022","          2.22","1,160,686","1,199,181","          0.97","2,359,015","1,064,449","          2.22","1,160,106","1,198,909","          0.97","2,357,750","1,064,395","          2.22","1,159,378","1,198,372","          0.97","2,355,187","1,063,844","          2.21","1,157,750","1,197,437","          0.97","2,354,476","1,064,253","          2.21","1,157,183","1,197,293","          0.97","2,352,311","1,065,373","          2.21","1,155,936","1,196,375","          0.97","2,350,691","1,066,560","          2.20","1,154,900","1,195,791","          0.97","2,349,579","1,067,528","          2.20","1,154,056","1,195,523","          0.97","2,348,777","1,068,729","          2.20","1,153,451","1,195,326","          0.96","2,348,154","1,069,578","          2.20","1,152,979","1,195,175","          0.96","2,370,805","1,084,264","          2.19","1,164,553","1,206,252","          0.97","2,370,236","1,085,219","          2.18","1,164,169","1,206,067","          0.97","2,369,596","1,085,785","          2.18","1,163,785","1,205,811","          0.97","2,368,915","1,086,305","          2.18","1,163,287","1,205,628","          0.96","2,367,680","1,086,586","          2.18","1,162,425","1,205,255","          0.96","2,366,654","1,087,288","          2.18","1,161,790","1,204,864","          0.96","2,365,599","1,087,727","          2.17","1,161,142","1,204,457","          0.96","2,363,792","1,089,042","          2.17","1,160,091","1,203,701","          0.96","2,361,791","1,090,446","          2.17","1,159,017","1,202,774","          0.96","2,360,506","1,091,484","          2.16","1,158,111","1,202,395","          0.96","2,359,650","1,092,760","          2.16","1,157,571","1,202,079","          0.96","2,359,015","1,093,603","          2.16","1,157,147","1,201,868","          0.96","2,358,520","1,094,429","          2.16","1,156,686","1,201,834","          0.96","2,357,941","1,095,294","          2.15","1,156,336","1,201,605","          0.96","2,357,470","1,096,311","          2.15","1,156,013","1,201,457","          0.96","2,356,972","1,096,565","          2.15","1,155,728","1,201,244","          0.96","2,356,147","1,096,598","          2.15","1,155,142","1,201,005","          0.96","2,355,509","1,097,444","          2.15","1,154,720","1,200,789","          0.96","2,355,229","1,097,877","          2.15","1,154,402","1,200,827","          0.96","2,354,588","1,100,579","          2.14","1,153,821","1,200,767","          0.96","2,352,526","1,100,989","          2.14","1,152,668","1,199,858","          0.96","2,351,197","1,101,407","          2.13","1,151,863","1,199,334","          0.96","2,350,086","1,101,749","          2.13","1,151,221","1,198,865","          0.96","2,349,160","1,102,328","          2.13","1,150,665","1,198,495","          0.96","2,349,203","1,103,102","          2.13","1,150,540","1,198,663","          0.96","2,348,904","1,104,004","          2.13","1,150,174","1,198,730","          0.96","2,348,655","1,104,928","          2.13","1,150,073","1,198,582","          0.96","2,348,042","1,105,284","          2.12","1,149,686","1,198,356","          0.96"
"대구광역시 중구 (2711000000)","75,354","37,882","          1.99","36,293","39,061","          0.93","75,175","37,890","          1.98","36,162","39,013","          0.93","75,008","37,873","          1.98","36,087","38,921","          0.93","74,794","37,841","          1.98","35,955","38,839","          0.93","74,402","37,713","          1.97","35,750","38,652","          0.92","74,117","37,593","          1.97","35,610","38,507","          0.92","73,912","37,556","          1.97","35,534","38,378","          0.93","73,653","37,428","          1.97","35,384","38,269","          0.92","73,364","37,339","          1.96","35,224","38,140","          0.92","73,060","37,263","          1.96","35,052","38,008","          0.92","72,973","37,242","          1.96","35,015","37,958","          0.92","73,645","37,453","          1.97","35,349","38,296","          0.92","73,797","37,467","          1.97","35,423","38,374","          0.92","73,790","37,504","          1.97","35,441","38,349","          0.92","73,793","37,556","          1.96","35,428","38,365","          0.92","73,713","37,624","          1.96","35,370","38,343","          0.92","74,709","38,128","          1.96","35,832","38,877","          0.92","76,849","39,054","          1.97","36,856","39,993","          0.92","77,718","39,438","          1.97","37,270","40,448","          0.92","77,999","39,528","          1.97","37,423","40,576","          0.92","78,033","39,550","          1.97","37,453","40,580","          0.92","78,112","39,658","          1.97","37,456","40,656","          0.92","78,231","39,732","          1.97","37,502","40,729","          0.92","78,718","39,973","          1.97","37,711","41,007","          0.92","79,201","40,117","          1.97","37,925","41,276","          0.92","79,578","40,217","          1.98","38,100","41,478","          0.92","80,407","40,644","          1.98","38,518","41,889","          0.92","81,194","41,011","          1.98","38,890","42,304","          0.92","82,236","41,529","          1.98","39,343","42,893","          0.92","82,843","41,821","          1.98","39,636","43,207","          0.92","83,112","41,971","          1.98","39,746","43,366","          0.92","83,331","42,062","          1.98","39,862","43,469","          0.92","84,691","42,703","          1.98","40,537","44,154","          0.92","85,611","43,145","          1.98","40,941","44,670","          0.92","86,120","43,414","          1.98","41,140","44,980","          0.91","86,812","43,709","          1.99","41,454","45,358","          0.91","87,400","43,930","          1.99","41,755","45,645","          0.91","88,481","44,376","          1.99","42,288","46,193","          0.92","89,103","44,713","          1.99","42,608","46,495","          0.92","89,670","45,031","          1.99","42,907","46,763","          0.92","89,994","45,285","          1.99","43,014","46,980","          0.92","90,374","45,473","          1.99","43,183","47,191","          0.92","91,324","45,861","          1.99","43,645","47,679","          0.92","92,076","46,170","          1.99","44,011","48,065","          0.92","92,762","46,474","          2.00","44,345","48,417","          0.92","93,522","46,781","          2.00","44,722","48,800","          0.92","94,248","47,106","          2.00","45,065","49,183","          0.92","95,194","47,474","          2.01","45,518","49,676","          0.92","96,169","47,848","          2.01","46,008","50,161","          0.92","97,128","48,293","          2.01","46,451","50,677","          0.92","97,534","48,484","          2.01","46,623","50,911","          0.92","98,004","48,819","          2.01","46,787","51,217","          0.91","98,155","48,901","          2.01","46,881","51,274","          0.91","98,325","48,955","          2.01","46,979","51,346","          0.91","98,501","49,008","          2.01","47,065","51,436","          0.92","99,051","49,251","          2.01","47,331","51,720","          0.92","99,788","49,537","          2.01","47,699","52,089","          0.92","100,019","49,652","          2.01","47,775","52,244","          0.91","100,199","49,723","          2.02","47,876","52,323","          0.92","100,308","49,805","          2.01","47,912","52,396","          0.91"
"대구광역시 동구 (2714000000)","339,585","153,138","          2.22","167,196","172,389","          0.97","339,066","153,400","          2.21","166,921","172,145","          0.97","338,660","153,601","          2.20","166,705","171,955","          0.97","338,825","154,018","          2.20","166,762","172,063","          0.97","339,899","154,949","          2.19","167,239","172,660","          0.97","339,698","155,179","          2.19","167,094","172,604","          0.97","339,148","155,174","          2.19","166,810","172,338","          0.97","338,767","155,228","          2.18","166,576","172,191","          0.97","338,530","155,352","          2.18","166,427","172,103","          0.97","338,374","155,484","          2.18","166,402","171,972","          0.97","338,177","155,653","          2.17","166,287","171,890","          0.97","338,739","156,102","          2.17","166,475","172,264","          0.97","339,284","156,503","          2.17","166,704","172,580","          0.97","339,589","156,860","          2.16","166,840","172,749","          0.97","339,860","157,142","          2.16","166,906","172,954","          0.97","339,892","157,464","          2.16","166,954","172,938","          0.97","339,662","157,526","          2.16","166,786","172,876","          0.96","339,298","157,662","          2.15","166,627","172,671","          0.96","339,252","157,908","          2.15","166,607","172,645","          0.97","339,309","158,031","          2.15","166,586","172,723","          0.96","339,036","158,053","          2.15","166,426","172,610","          0.96","338,766","158,128","          2.14","166,252","172,514","          0.96","338,882","158,340","          2.14","166,357","172,525","          0.96","338,930","158,481","          2.14","166,371","172,559","          0.96","338,771","158,501","          2.14","166,304","172,467","          0.96","338,148","158,259","          2.14","165,913","172,235","          0.96","337,865","158,220","          2.14","165,697","172,168","          0.96","337,248","158,224","          2.13","165,367","171,881","          0.96","337,416","158,479","          2.13","165,402","172,014","          0.96","337,464","158,726","          2.13","165,408","172,056","          0.96","338,335","159,329","          2.12","165,773","172,562","          0.96","338,651","159,601","          2.12","165,880","172,771","          0.96","339,251","160,007","          2.12","166,161","173,090","          0.96","340,490","160,648","          2.12","166,773","173,717","          0.96","341,168","161,010","          2.12","167,068","174,100","          0.96","341,313","161,207","          2.12","167,129","174,184","          0.96","341,685","161,434","          2.12","167,257","174,428","          0.96","341,481","161,581","          2.11","167,136","174,345","          0.96","341,386","161,745","          2.11","167,118","174,268","          0.96","340,839","161,823","          2.11","166,815","174,024","          0.96","340,595","161,899","          2.10","166,695","173,900","          0.96","340,974","162,294","          2.10","166,848","174,126","          0.96","341,559","162,858","          2.10","167,154","174,405","          0.96","341,928","163,248","          2.09","167,379","174,549","          0.96","342,076","163,413","          2.09","167,402","174,674","          0.96","342,149","163,704","          2.09","167,377","174,772","          0.96","342,074","163,865","          2.09","167,320","174,754","          0.96","341,807","163,771","          2.09","167,119","174,688","          0.96","341,431","163,664","          2.09","166,879","174,552","          0.96","341,009","163,706","          2.08","166,624","174,385","          0.96","340,813","163,782","          2.08","166,525","174,288","          0.96","340,386","164,040","          2.08","166,269","174,117","          0.95","340,166","164,136","          2.07","166,144","174,022","          0.95","339,840","164,208","          2.07","165,979","173,861","          0.95","339,591","164,275","          2.07","165,895","173,696","          0.96","339,283","164,363","          2.06","165,725","173,558","          0.95","339,222","164,406","          2.06","165,658","173,564","          0.95","339,075","164,498","          2.06","165,527","173,548","          0.95","338,653","164,457","          2.06","165,318","173,335","          0.95","338,386","164,411","          2.06","165,173","173,213","          0.95"
"대구광역시 서구 (2717000000)","169,148","81,580","          2.07","84,688","84,460","          1.00","168,791","81,704","          2.07","84,502","84,289","          1.00","168,486","81,814","          2.06","84,336","84,150","          1.00","168,108","81,909","          2.05","84,087","84,021","          1.00","167,597","81,950","          2.05","83,829","83,768","          1.00","167,198","81,917","          2.04","83,584","83,614","          1.00","166,894","81,945","          2.04","83,388","83,506","          1.00","166,449","81,905","          2.03","83,183","83,266","          1.00","165,962","81,813","          2.03","82,875","83,087","          1.00","165,572","81,767","          2.02","82,669","82,903","          1.00","165,101","81,622","          2.02","82,401","82,700","          1.00","164,547","81,496","          2.02","82,136","82,411","          1.00","163,906","81,355","          2.01","81,787","82,119","          1.00","163,237","81,151","          2.01","81,459","81,778","          1.00","162,838","81,083","          2.01","81,231","81,607","          1.00","162,302","80,986","          2.00","80,904","81,398","          0.99","161,766","80,871","          2.00","80,651","81,115","          0.99","161,044","80,628","          2.00","80,276","80,768","          0.99","160,506","80,514","          1.99","79,971","80,535","          0.99","160,270","80,492","          1.99","79,854","80,416","          0.99","160,661","80,732","          1.99","80,014","80,647","          0.99","160,562","80,758","          1.99","79,939","80,623","          0.99","160,261","80,712","          1.99","79,774","80,487","          0.99","159,894","80,607","          1.98","79,555","80,339","          0.99","159,441","80,448","          1.98","79,303","80,138","          0.99","158,880","80,279","          1.98","78,980","79,900","          0.99","158,480","80,188","          1.98","78,768","79,712","          0.99","158,038","80,137","          1.97","78,539","79,499","          0.99","157,616","80,064","          1.97","78,277","79,339","          0.99","157,982","80,359","          1.97","78,485","79,497","          0.99","158,723","80,811","          1.96","78,832","79,891","          0.99","158,990","81,012","          1.96","78,963","80,027","          0.99","158,689","80,942","          1.96","78,802","79,887","          0.99","158,351","80,884","          1.96","78,612","79,739","          0.99","158,995","81,230","          1.96","78,920","80,075","          0.99","160,295","81,861","          1.96","79,515","80,780","          0.98","162,156","82,716","          1.96","80,437","81,719","          0.98","163,213","83,182","          1.96","80,961","82,252","          0.98","163,645","83,429","          1.96","81,154","82,491","          0.98","163,878","83,616","          1.96","81,234","82,644","          0.98","163,605","83,618","          1.96","81,078","82,527","          0.98","163,218","83,506","          1.95","80,868","82,350","          0.98","162,744","83,373","          1.95","80,671","82,073","          0.98","162,503","83,321","          1.95","80,564","81,939","          0.98","162,055","83,172","          1.95","80,305","81,750","          0.98","161,720","83,082","          1.95","80,168","81,552","          0.98","162,633","83,566","          1.95","80,627","82,006","          0.98","162,934","83,749","          1.95","80,745","82,189","          0.98","162,723","83,679","          1.94","80,601","82,122","          0.98","162,326","83,566","          1.94","80,388","81,938","          0.98","162,010","83,484","          1.94","80,176","81,834","          0.98","161,615","83,411","          1.94","80,028","81,587","          0.98","161,283","83,279","          1.94","79,853","81,430","          0.98","160,923","83,174","          1.93","79,658","81,265","          0.98","160,526","83,101","          1.93","79,450","81,076","          0.98","160,270","83,023","          1.93","79,322","80,948","          0.98","160,148","83,023","          1.93","79,238","80,910","          0.98","160,390","83,189","          1.93","79,362","81,028","          0.98","161,771","83,780","          1.93","80,033","81,738","          0.98","162,651","84,164","          1.93","80,463","82,188","          0.98"
"대구광역시 남구 (2720000000)","144,508","74,557","          1.94","69,452","75,056","          0.93","144,469","74,738","          1.93","69,471","74,998","          0.93","144,277","74,865","          1.93","69,362","74,915","          0.93","144,106","74,999","          1.92","69,283","74,823","          0.93","143,880","75,080","          1.92","69,177","74,703","          0.93","144,074","75,310","          1.91","69,240","74,834","          0.93","143,961","75,427","          1.91","69,139","74,822","          0.92","143,775","75,474","          1.90","69,057","74,718","          0.92","143,570","75,472","          1.90","68,972","74,598","          0.92","143,245","75,419","          1.90","68,815","74,430","          0.92","143,186","75,516","          1.90","68,774","74,412","          0.92","142,835","75,440","          1.89","68,610","74,225","          0.92","142,362","75,309","          1.89","68,390","73,972","          0.92","141,883","75,176","          1.89","68,119","73,764","          0.92","141,478","75,045","          1.89","67,894","73,584","          0.92","141,290","75,046","          1.88","67,798","73,492","          0.92","141,179","75,330","          1.87","67,702","73,477","          0.92","140,540","75,144","          1.87","67,382","73,158","          0.92","140,264","75,138","          1.87","67,214","73,050","          0.92","140,031","75,116","          1.86","67,102","72,929","          0.92","140,348","75,295","          1.86","67,227","73,121","          0.92","140,400","75,398","          1.86","67,263","73,137","          0.92","140,784","75,678","          1.86","67,459","73,325","          0.92","141,026","75,824","          1.86","67,539","73,487","          0.92","140,962","75,808","          1.86","67,521","73,441","          0.92","140,602","75,655","          1.86","67,316","73,286","          0.92","140,655","75,714","          1.86","67,301","73,354","          0.92","140,871","75,850","          1.86","67,363","73,508","          0.92","140,756","75,903","          1.85","67,268","73,488","          0.92","140,769","76,010","          1.85","67,212","73,557","          0.91","140,711","76,015","          1.85","67,176","73,535","          0.91","140,341","75,892","          1.85","66,984","73,357","          0.91","139,890","75,760","          1.85","66,754","73,136","          0.91","139,633","75,650","          1.85","66,616","73,017","          0.91","139,541","75,633","          1.84","66,625","72,916","          0.91","139,280","75,515","          1.84","66,512","72,768","          0.91","138,730","75,271","          1.84","66,207","72,523","          0.91","138,278","75,125","          1.84","65,977","72,301","          0.91","137,911","74,978","          1.84","65,790","72,121","          0.91","137,589","74,938","          1.84","65,623","71,966","          0.91","137,261","74,930","          1.83","65,432","71,829","          0.91","136,681","74,699","          1.83","65,133","71,548","          0.91","136,280","74,602","          1.83","64,959","71,321","          0.91","136,020","74,564","          1.82","64,798","71,222","          0.91","135,712","74,479","          1.82","64,667","71,045","          0.91","135,445","74,371","          1.82","64,548","70,897","          0.91","135,102","74,284","          1.82","64,387","70,715","          0.91","134,679","74,098","          1.82","64,174","70,505","          0.91","134,660","74,109","          1.82","64,155","70,505","          0.91","135,377","74,445","          1.82","64,480","70,897","          0.91","135,762","74,617","          1.82","64,655","71,107","          0.91","136,028","74,894","          1.82","64,723","71,305","          0.91","135,978","74,938","          1.81","64,693","71,285","          0.91","135,827","74,917","          1.81","64,588","71,239","          0.91","135,736","74,884","          1.81","64,521","71,215","          0.91","135,704","74,936","          1.81","64,530","71,174","          0.91","135,572","74,938","          1.81","64,476","71,096","          0.91","135,448","74,915","          1.81","64,409","71,039","          0.91","135,152","74,859","          1.81","64,263","70,889","          0.91","134,863","74,748","          1.80","64,087","70,776","          0.91"
